"id","car_model","car_mark_id"
"6217","A3","6453"
"6218","330e","6454"
"6219","Centurion","6455"
"6220","Allante","6456"
"6221","Apache","6457"
"6222","300M","6458"
"6223","Avenger","6459"
"6224","Aspire","6460"
"6225","Acadia","6461"
"6226","Accord","6462"
"6227","Azera","6463"
"6228","EX37","6464"
"6229","F-PACE","6465"
"6230","Amanti","6466"
"6231","Discovery","6467"
"6232","ES","6468"
"6233","Blackwood","6469"
"6234","B2200","6470"
"6235","280SE","6471"
"6236","Diamante","6472"
"6237","240SX","6473"
"6238","Carrera","6474"
"6239","ProMaster","6475"
"6241","Model","6477"
"6242","Avalon","6478"
"6243","lt 35","6479"
"6244","fh12","6480"
"6245","brabus","6481"
"6246","hn4252icm41c9m5","6482"
"6247","movano","6483"
"6248","tga","6484"
"6249","sitrak 540hp","6485"
"6250","sc1027sca5","6486"
"6251","3302","6487"
"6252","td65b","6488"
"6253","ft xf95.430","6489"
"6254","zk6127h19","6490"
"6255","643008","6491"
"6256","premium","6492"
"6257","sx4258nv384t","6493"
"6258","granta","6494"
"6259","беларусь - 80,1","6495"
"6260","aurobs","6496"
"6261","a21r33","6497"
"6262","dacia","6498"
"6263","patriot","6499"
"6264","atego917","6500"
"6265","joylong","6501"
"6266","533702","6502"
"6267","лада","6503"
"6268","r124la4x2nb470","6504"
"6269","chang an","6505"
"6270","lck6127h","6506"
"6271","porter","6507"
"6272","zz4257n3847c1b","6508"
"6273","fvr 33gld","6509"
"6274","tongyada","6510"
"6275","к 424","6511"
"6276","tranzit","6512"
"6277","land cruiser lc 200","6513"
"6278","43118","6514"
"6279","as440t","6515"
"6280","jaguar","6516"
"6281","boxer","6517"
"6282","bj1036v4av5","6518"
"6283","arion 630","6519"
"6284","lf5021xxya1","6520"
"6285","can-am","6521"
"6286","hundai","6522"
"6287","23632","6523"
"6288","maserati","6524"
"6289","wielton","6525"
"6290","gt650rc","6526"
"6291","zlj5350jqz35v","6527"
"6292","sko 24","6528"
"6293","krone","6529"
"6294","kavasaki","6530"
"6295","serin","6531"
"6296","3050в","6532"
"6297","xmq6600","6533"
"6298","210 case","6534"
"6299","sinotruck","6535"
"6300","shifeng chimgan","6536"
"6301","utility vehicle","6537"
"6302","fatih","6538"
"6303","weima","6539"
"6304","газ c41r13","6540"
"6305","zz4255n3847e1c","6541"
"6306","f2000 cng6x4","6542"
"6307","мini bus","6543"
"6308","longxin","6544"
"6309","honda","6545"
"6310","doblo","6546"
"6311","daewoo","6547"
"6312","daimler","6548"
"6313","zl200zh","6549"
"6314","yto me","6550"
"6315","wolksvagen","6551"
"6316","44202","6552"
"6317","lovol","6553"
"6318","yamaha 1000 ss","6554"
"6319","daimlerchrysler","6555"
"6320","chimgan","6556"
"6321","nexos","6557"
"6322","wecon","6558"
"6323","евро 4","6559"
"6324","tonly","6560"
"6325","wuling","6561"
"6326","weichai","6562"
"6327","weichai eurise","6563"
"6328","kavaki","6564"
"6329","dlq5170gjy","6565"
"6330","zhanlang","6566"
"6331","yamaha grizzly","6567"
"6332","rolls royce","6568"
"6333","golden dragon","6569"
"6334","forland","6570"
"6335","зил","6571"
"6336","75131","6572"
"6337","xyundai","6573"
"6338","тэс","6574"
"6339","dongfeng dmf","6575"
"6340","jac sunray","6576"
"6341","north benz","6577"
"6342","truck jac","6578"
"6343","chufei","6579"
"6344","stels","6580"
"6345","racing go","6581"
"6346","A4","6453"
"6347","530e","6454"
"6348","Century","6455"
"6349","Brougham","6456"
"6350","Astro","6457"
"6351","Aspen","6458"
"6352","Caliber","6459"
"6353","Bronco","6460"
"6354","Caballero","6461"
"6356","Elantra","6463"
"6357","FX35","6464"
"6358","F-TYPE","6465"
"6359","Borrego","6466"
"6362","Capri","6469"
"6363","B2300","6470"
"6364","280SL","6471"
"6365","Eclipse","6472"
"6366","280ZX","6473"
"6367","Cayenne","6474"
"6372","Arteon","6479"
"6373","C30","6480"
"6374","1841","6481"
"6375","hn4250ngx38c9m5","6482"
"6376","combo","6483"
"6377","tgs","6484"
"6378","id","6485"
"6379","sc1027dac5","6486"
"6380","бизнес","6487"
"6381","t480s","6488"
"6382","ftcf85.410t","6489"
"6383","zk6122hqb5y","6490"
"6384","duster","6492"
"6385","sx3256dt464t","6493"
"6386","gab33","6494"
"6387","беларус 80х","6495"
"6388","соболь","6497"
"6389","pickup","6499"
"6390","glс 250","6500"
"6391","6312в3","6502"
"6392","евро 5","6504"
"6393","poter","6507"
"6394","zz4257n3847c1c","6508"
"6396","transit ft 190","6512"
"6397","land cruiser 200","6513"
"6398","5410","6514"
"6399","bn","6515"
"6400","velar 3 0sc","6516"
"6401","auman bj253smfkb","6518"
"6403","lf1022a1","6520"
"6404","390995","6523"
"6405","qy26vf","6527"
"6406","ningbo","6532"
"6408","zz4255n3246c1b","6541"
"6410","3255","6552"
"6412","535d","6454"
"6413","Electra","6455"
"6414","CT4","6456"
"6415","Avalanche","6457"
"6416","Cirrus","6458"
"6417","Caravan","6459"
"6419","Canyon","6461"
"6422","FX37","6464"
"6423","I-PACE","6465"
"6424","Cadenza","6466"
"6425","Freelander","6467"
"6427","Continental","6469"
"6428","B2500","6470"
"6429","450SL","6471"
"6431","300ZX","6473"
"6436","C-HR","6478"
"6437","Atlas","6479"
"6438","C40","6480"
"6439","amg gle 43 4matic coupe","6481"
"6440","tgl02","6484"
"6442","sx4258nt384t","6486"
"6443","172411","6487"
"6444","тт4 80","6488"
"6445","fa xf105","6489"
"6446","zk6107ha","6490"
"6447","premium 460","6492"
"6448","sx5318gyyjt456","6493"
"6449","gab11","6494"
"6450","беларусь 80х","6495"
"6451","газель next","6497"
"6453","спринтер","6500"
"6454","650108","6502"
"6455","n320","6504"
"6456","h-1 12 str","6507"
"6457","zz4257n3847q1cb","6508"
"6458","npr 75k","6509"
"6459","transit 280s 2 2 tdci 125hk kassevogn","6512"
"6460","land cruiser urj202","6513"
"6461","44108","6514"
"6462","stralis","6515"
"6463","bj6549b1pxa","6518"
"6464","lf5021xxyа1","6520"
"6467","xmq6125ay","6533"
"6469","A5","6453"
"6470","740e","6454"
"6472","CT4-V","6456"
"6473","Aveo","6457"
"6474","Concorde","6458"
"6475","Challenger","6459"
"6477","Envoy","6461"
"6478","CR-V","6462"
"6480","FX45","6464"
"6481","Mark","6465"
"6482","Carnival","6466"
"6483","LR2","6467"
"6485","Corsair","6469"
"6486","B2600","6470"
"6487","A-Class","6471"
"6488","Endeavor","6472"
"6489","350Z","6473"
"6493","Roadster","6477"
"6494","Camry","6478"
"6496","C70","6480"
"6497","actros 1844 ls","6481"
"6499","zz4255n3846e1c","6485"
"6500","sc1035dcgb5","6486"
"6501","32212","6487"
"6502","td 65b 4wd","6488"
"6503","xf05edn3","6489"
"6504","trafic","6492"
"6505","sx4255nt324","6493"
"6506","rs045","6494"
"6507","беларус 82 1","6495"
"6509","396295","6499"
"6510","1217","6500"
"6511","r450","6504"
"6512","h-1","6507"
"6513","zz3327n3847d","6508"
"6514","npc7sf","6509"
"6516","5460 63","6514"
"6517","daily 35s","6515"
"6518","bj5026xxy","6518"
"6521","A6","6453"
"6522","745e","6454"
"6523","Enclave","6455"
"6524","CT5","6456"
"6525","Bel","6457"
"6526","Conquest","6458"
"6527","Charger","6459"
"6528","C-Max","6460"
"6532","FX50","6464"
"6534","EV6","6466"
"6535","LR3","6467"
"6537","Cosmopolitan","6469"
"6538","B3000","6470"
"6539","AMG","6471"
"6540","Galant","6472"
"6541","370Z","6473"
"6546","Beetle","6479"
"6547","DL","6480"
"6548","e200","6481"
"6549","tgх 18 440","6484"
"6550","howo","6485"
"6551","sc5027xxydaa5","6486"
"6552","газ 2705","6487"
"6553","td4 65в","6488"
"6554","ft xf105","6489"
"6555","premium 460 dxi alliance","6492"
"6556","sx3256dr384","6493"
"6557","rs045l","6494"
"6558","беларус 80","6495"
"6559","cargo","6499"
"6560","gls400 4matic","6500"
"6562","h1 б","6507"
"6564","ftr33hlx","6509"
"6566","65116 62","6514"
"6567","bj1022v3jv3","6518"
"6568","6155m","6532"
"6570","ALPINA","6454"
"6571","Encore","6455"
"6572","CT5-V","6456"
"6573","Beretta","6457"
"6574","Cordoba","6458"
"6575","Colt","6459"
"6578","CR-Z","6462"
"6580","G25","6464"
"6581","S-Type","6465"
"6582","Forte","6466"
"6583","LR4","6467"
"6584","GS","6468"
"6585","LS","6469"
"6586","B4000","6470"
"6588","Lancer","6472"
"6589","ARIYA","6473"
"6590","Cayman","6474"
"6595","GL","6480"
"6596","115 cdi","6481"
"6597","l 2007","6484"
"6599","3010gd","6487"
"6600","td100d delta","6488"
"6601","ft xf","6489"
"6602","medlum 180 10","6492"
"6603","sx5314xxynr456","6493"
"6604","gfl11","6494"
"6605","беларусь 80 1","6495"
"6606","1846ls","6500"
"6607","r144","6504"
"6608","libero","6507"
"6609","lzz5elnd3an443283","6508"
"6610","nqr 71 pl","6509"
"6611","land cruiser lc150","6513"
"6612","65116","6514"
"6613","8270r","6532"
"6614","A7","6453"
"6617","CT6","6456"
"6618","Biscayne","6457"
"6619","Crossfire","6458"
"6620","Coronet","6459"
"6621","Club","6460"
"6622","HUMMER","6461"
"6623","Civic","6462"
"6624","Entourage","6463"
"6625","G25x","6464"
"6626","Vanden","6465"
"6628","Range","6467"
"6630","MKC","6469"
"6631","CX-3","6470"
"6634","Altima","6473"
"6635","Macan","6474"
"6636","Celica","6478"
"6637","CC","6479"
"6638","S40","6480"
"6639","actros","6481"
"6640","tgl 12 180","6484"
"6641","td 5.110","6488"
"6642","ftxf105 460т","6489"
"6643","arkana","6492"
"6644","sx3254dr384","6493"
"6645","21902","6494"
"6646","беларусь 920","6495"
"6647","410 d","6500"
"6648","r34dlb4x2mnb","6504"
"6649","tq h 1","6507"
"6650","zz4257s3241v","6508"
"6651","nqr71pl","6509"
"6652","land cruiser gxr v8","6513"
